codigo_producto,nombre_producto,peso_manual,peso_calculado,no_recomendar
CAEEPA030,CALENDARIO E.PAULINAS 2024 PROGRAMADOR DE PARED,1.2,1.0,False
CHIISO001,CHINCHES ISOFIT 11307 PLATEADO CJ100U,1.2,1.0,False
PCPHOB004,PAP CREPE HOBBY AMA 48X200CM,0.7,1.0,True
PAAXXX010,PAP ARAÑA NEG 50X80CM,0.5,1.0,True
PERRAP020,PERFORADOR RAPID HP20 CAP 20HJS NEG 5000196,0.5,1.0,False
PBOPBL001,PAP BOND PAPELBOL RECICLADO CARTA 75GR PQ500HJS,1.2,1.5,False
MCPPTL029,MICROPUNTA PENTEL BL27 C AZU 0.7MM ENERGEL,1.2,0.7,True
BOLPTL076,BOLIGRAFO PENTEL BX417 F NAR 0.7MM FEEL IT RETRAC,1.2,1.0,True
ARCLEY057,ARCHIVADOR LEYDEZ PALANCA VER PLAST,1.2,0.5,False
LIGALL005,LIGAS ALLIANCE NO33 DE 1/4 LIBRA,1.5,1.0,False
ARCLEY042,ARCHIVADOR LEYDEZ LETRA PALANCA NEG PLAST,0.5,1.5,True
PCABTI001,PAP CARBON BEE TIGER NEG OFICIO PLASTIFICADO PQ100HJS,0.7,1.0,False
CLBLEY107,CLIP BIN LEYDEZ 19MM O 3/4PULG CJ12PZ,0.7,1.0,False
TAJPEL008,TAJADOR PELIKAN MX 1 ORIFICIO PLAST MOD 303,1.5,1.0,False
BOLLEY003,BOLIGRAFO LEYDEZ 07MM ROJO PUNTA METAL,0.5,0.7,True
CCOMDN004,CARPETA COLG MADISON OFICIO ROJ,0.5,1.0,True
RBLPEL003,RPTO BOLIG PELIKAN AL 095 931 246 AZUL PUNTA F JUMBO,1.2,1.0,False
AGEV&R095,AGENDA V&R 2024 MITOLOGICA ,1.2,1.0,True
FOLUSG005,FOLDER USIGN US 287AG VARILLA OFICIO,0.5,1.0,True
CATABC011,CARTAP ABC 2A CARTA CARTON ANILLA O,1.5,1.0,True
HTPABC018,HJA TRAPPER ABC NEGRO 5PERF CUAD 5MM PQ200HJS,0.5,1.2,False
PSESWA022,PAP SEDA 7301 MORADO 50X75CM,0.7,1.0,True
FASMDN001,FASTENER MADISON 1D01002 PLASTICO,1.2,1.0,True
BOLPTL072,BOLIGRAFO PENTEL BX417 A NEG 0.7MM FEEL IT RETRAC,1.2,1.0,False
GOMPEL009,GOMA BORRAR PELIKAN MX RADIERER AL 20,0.5,1.0,False
PEGUHU007,PEGAMENTO UHU EN BARRA 21G,0.7,1.0,True
BOLPTL058,BOLIGRAFO PENTEL BX440 V VIO 1.0MM FEEL IT TRIANG RETRAC,1.0,1.2,False
LIBABC002,LIBRETA ABC ESP CUAD 5MM 1/4 OFICIO,0.7,1.0,True
ARCLEY056,ARCHIVADOR LEYDEZ PALANCA ROJ PLAST,1.0,0.5,True
CNAPGF001,CINTA ADHES PEGAFAN MAGICA 3/4PULG X 25YDS,1.5,1.0,True
MCPPTL036,MICROPUNTA PENTEL BL107 AX NEG 0.7MM ENERGEL X RETRAC,1.2,1.0,False
PBOBRE022,PAP BOND BOREAL BLAN OFICIO 75GR PQ500HJS,0.7,1.0,False
SENATS007,SEÑALADOR ARTESCO CRISTAL PRECORTADO 3.8CM PLAST,0.7,1.0,False
MRDPTL020,MARCADOR PENTEL N450 D VER PERM RECARG PTA REDONDA,1.0,0.5,True
PLFPRK051,PLUMAFUENTE PARKER 2030948 JOTTER CROMA CLIP DOR ,0.5,1.2,True
RFLPRK002,RPTO FLOAT PARKER 117906 S0881210 AZU F,0.7,1.0,True
MRDPTL041,MARCADOR PENTEL NF450 A NEG PERM PTA EXT FINA,0.7,1.0,False
BOLCOV001,BOLIGRAFO CORVINA 51 AZU 10MM,1.0,1.2,False
PINCOD004,PINCEL CONDOR 456 NO 10 PELO CERDA,1.5,1.0,False
TAJMDN003,TAJADOR MADISON 8583 PLAST ESCOLAR,0.7,1.0,False
ARCLEY050,ARCHIVADOR LEYDEZ PALANCA AMA PLAST,1.5,1.0,True
FOLVIN010,FOLDER VINIFAN DOBLE TAPA OFICIO LILA GUS,1.5,0.7,True
FOLDEL111,FOLDER DELLO 0240.T.0050 DELLOFINE VERDE NEON ALA OFICIO,1.2,1.0,True
SOBXXX017,SOBRE MANILA 1/2 OFICIO,1.5,1.0,True
FOLVIN020,FOLDER VINIFAN TAPA TRANSPARENTE OFICIO GUINDO C/FASTENER,1.2,1.0,True
PCBXXX003,PAP CEBOLLA 90 95GR 77X110CM,1.5,1.0,False
BOLPTL078,BOLIGRAFO PENTEL BX417 S CEL 0.7MM FEEL IT RETRAC,0.7,1.0,False
CNEPGF002,CINTA EMBAL PEGAFAN 740 TRANSP 48MM X 40YDS,0.7,1.0,True
LAPSCA005,LAPIZ SCALA 2767 AZU E,1.2,1.0,True
TPLPEL003,TINT PLUMAF PELIKAN MX 4001 NEG CARTUCHO,1.2,0.7,False
CAUXXX032,CARTULINA ESCOLAR 170GR BLA 65X100CM,1.2,1.0,True
SOBXXX004,SOBRE BOND BLAN CD 13X13CM,0.5,1.0,False
PCCLEY001,PAP CALCUL LEYDEZ 60GR 2 1 4PULG 57MM X 55M,0.7,1.0,True
SELISO001,SELLO ISOFIT NUMERADOR AUTOMAT 6DIG,1.5,1.0,False
MRJPEL014,MARCADOR JGO PELIKAN MX MARKANA PINCEL 30341200 JGO12U,0.7,1.0,False
PSESWA009,PAP SEDA 1403 1201 FUCSIA CERICE NO17 50X75CM,1.2,1.0,False
ENGRAP043,ENGRAPADOR RAPID CAP 20HJS PLAST NEG 5000192,0.7,1.0,False
TCHPEL005,TINT CHINA PELIKAN CO VER 15CC,1.5,0.7,False
LAPLYR072,LAPIZ LYRA 1293960 NEG HB 2 NEON CON GOMA,1.0,1.2,False
MINLYR023,MINA LYRA 2182 5002100 NEG 0.7MM HB,1.5,1.0,True
TAJATS001,TAJADOR ARTESCO METAL SIMPLE,0.5,1.0,True
BOLPIL046,BOLIGRAFO PILOT BP 1RT F ROJ RETRACTIL,0.5,1.0,False
GRAMDN005,GRAPAS MADISON 23/15 CJ1000U,1.5,1.0,False
AGEXXX026,AGENDA STAR WARS 2024,0.5,1.0,False
PBOLEY107,PAP BOND LEYDEZ VER ESMER 80GR CARTA PQ100HJS,0.7,1.2,True
BOLPIL041,BOLIGRAFO PILOT BPT P ROJ 0.7MM,0.5,1.0,False
BOLPTL085,BOLIGRAFO PENTEL BX420 A NEG 1.0MM FEEL IT RETRAC,0.5,1.0,True
BOLPTL091,BOLIGRAFO PENTEL BX420 S CEL 1.0MM FEEL IT RETRAC,1.2,1.0,True
PIZXXX023,PIZARRA CORCHO 045X060M,1.5,1.0,True
TTMLEY002,TINT TAMPO LEYDEZ AZUL 30ML,0.7,1.0,True
PAAXXX002,PAP ARAÑA VER 50X80CM,0.5,1.0,False
PAAXXX007,PAP ARAÑA BLA 50X80CM,0.5,1.0,False
TIJMDN003,TIJERA ESCOLAR MADISON NO7 5PULG,0.5,1.2,False
MRAMON001,MARC AGUA MON AMI NEG,0.5,1.0,True
CUAABC008,CUADERNO ABC ESP 1/2 OFICIO CUAD 4MM 100HJS,1.0,0.7,False
CUAABC021,CUADERNO ABC NO 7 COL ALEMAN,0.7,1.0,True
LCLPEL031,LAPIC COLOR PELIKAN MX 30330303 TRIANGULAR 4MM LARGO JGO12U,0.7,1.0,False
MRDPTL018,MARCADOR PENTEL N450 B ROJ PERM RECARG PTA REDONDA,0.7,1.0,False
BOLPIL040,BOLIGRAFO PILOT BPT P AZUL 0.7MM,1.2,1.0,True
CUAABC076,CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 200HJS,0.7,1.0,False
CUAABC058,CUADERNO ABC ENGRAP 46HJS C COOL50 CUAD 5MM,0.7,1.2,True
CUAABC124,CUADERNO ABC ESP CARTA CUAD  5MM 100HJS MARGEN ROJO  TAPA DURA PLENO,0.7,0.5,True
CUDABC022,CUADERNILLO ABC CARTA 5MM MARGEN,1.5,1.0,False
HTPABC006,HJA TRAPPER ABC COLOR 3 PERF CUAD 5MM PQ200HJS,1.0,1.2,True
BOLPTL060,BOLIGRAFO PENTEL BX427 A NEGR0.7MM FEEL IT,0.5,1.0,False
RESPEL026,RESALTADOR PELIKAN MX 414 ROS BISELADA,0.7,1.0,False
BLPIDL002,BLOCK POST IDEAL FLUOR 3X3PULG 76X76MM,0.5,1.0,True
RESPEL040,RESALTADOR PELIKAN CO 041 900 4230 NAR FLASH GRUESO,1.5,1.0,True
LRGABC004,LIBRO REGIS ABC ACTAS 100 HJS OFICIO,1.2,1.0,True
PMNSWA001,PAP MANTEQ SWALENDER RESMA,0.7,1.0,True
FOLXXX008,FOLDER CREMA CARTA CARTULINA 200GR,0.5,1.0,False
HJCABC017,HJA CARPETA ABC 3 PERF COLOR CUAD 5MM PQ500HJS,1.2,0.5,True
PEGACO008,PEGAMENTO ACRICOLOR ISOCOLA 40G,1.5,1.0,True
BASUSG001,BASURERO USIGN US 8813 PLASTICO MEDIANO,0.7,1.0,True
GOMSTB007,GOMA STABILO 1199/90 TRIO (FCO/90U.),0.7,1.0,False
BLBXXX001,BLOCK BOND COL 9X9CM 500HJS,1.2,1.0,False
ARCLEY011,ARCHIVADOR LEYDEZ INICIAL BLA 345X265X5CM,0.7,1.0,True
PBOABC001,PAP BOND ABC CUAD 57GR DOBLE OFICIO,0.7,1.0,False
JUEART021,JUEGO ARTI TACJUEDI056 MANITOS X 20 PZS,0.5,1.0,True
CAUXXX027,CARTULINA CARTA NEG,0.5,1.0,True
PILPWO003,PILAS ALKALINAS POWER ONE P-AAA/6 BL6U,1.0,0.5,True
BOLPIL039,BOLIGRAFO PILOT BPT P NEG 0.7MM,0.7,1.0,False
MRAPEL010,MARC AGUA PELIKAN MX FLASH MARKER 442 NEG,0.7,1.0,True
MRAPEL011,MARC AGUA PELIKAN MX FLASH MARKER 442 ROJ,0.7,1.0,True
BOLFBC016,BOLIGRAFO FABER CASTELL VER 032 TRILUX,1.5,1.0,True
LCLPEL026,LAPIC COLOR PELIKAN CH 010 012 214 PINTALOCO HEXAGLARGO JGO12U,0.5,1.0,True
PCSLEY001,PAP CONST LEYDEZ 10 COL CARTA BLOCK40HJS,0.5,1.0,True
BOLPRK086,BOLIGRAFO PARKER 1953170 JOTTER ACERO INOX CLIP CROMADO,0.7,1.0,True
FOLXXX010,FOLDER COLOR OFICIO CARTULINA COLOR,1.5,1.0,True
CNARTX005,CINTA ADHES ROTEX 772R BOOK TAPE CAF 50MM,1.2,1.0,True
RCUISO001,RPTO CUCHIL ISOFIT GRUESO JGO10U,1.5,0.5,False
AGEEPA071,AGENDA E.PAULINAS 2024 EMPEZAR C..DIA TAPA DURA ANILLADA,0.5,1.2,False
