"codigo_producto","nombre_producto","peso_manual","peso_calculado"
"BOLPTL074","BOLIGRAFO PENTEL BX417 C AZU 0.7MM FEEL IT RETRAC","1.2","1"
"FORVIN006","FORRO VINIFAN 0.45X3M FILM CONTACT","1.5","1"
"BLPIDL004","BLOCK POST IDEAL 3X2PULG 76X51MM JGO5COL","1.5","1"
"TIJPEL007","TIJERA PELIKAN MX 08000140 OFICINA 7PULG ACERO INOX","0.5","1"
"CLPGNR001","CLIP METAL GEN NO8 50MM CJ100U","0.5","1"
"CNDPGF002","CINTA DIUREX PEGAFAN 705 CRIST 3/4PULG X 36 YDS","0.7","1"
"SEPUSG006","SEPARADOR USIGN US 012 COLOR A4 JGO 1 A 12 NUM","1.5","1"
"LAPLYR057","LAPIZ LYRA 1760100 NEG HB GROOVE SLIM SIN GOMA","1.5","1"
"ARCXXX001","ARCHIVADOR RAPIDO OFICIO MEC METAL","0.7","1.2"
"BOLPEL003","BOLIGRAFO PELIKAN MX POINTEC ROJ 1.0MM","0.7","1"
"BOLPEL004","BOLIGRAFO PELIKAN MX POINTEC VER 1.0MM","1.2","1"
"RESPEL047","RESALTADOR PELIKAN CO 041 900 540 AQUA FLASH PASTEL GRUESO","0.5","1.5"
"JUEART008","JUEGO ARTI TACJUEDI003 ZAPATILLA GOMA EVA 3EN 1","0.7","1"
"PILPWO013","PILAS ALKALINAS POWER ONE P-AA/6 BL6U","0.7","1"
"MCPPTL084","MICROPUNTA PENTEL BL437R S  CEL  0.7MM ENERGEL RETRACT","0.5","1.5"
"XLIGUM045","LA BARCA SIN PESCADOR","1.2","1"
"BSAMDF002","BOLSA ECOLOGICA MODA FASHION DE TOCUYO 37X38 CM CRUDO","0.7","1"
"PKRXXX003","PAP KRAFT 125GR 102X160CM","0.7","1"
"PLFPEL032","PLUMAFUENTE PELIKAN AL 821827 JAZZ NOBLE ELEGANCE  P36 DORADO","1.2","1.5"
"ETQPGF055","ETIQUETAS PEGAFAN BLA A4 007 210X297MM HJA 1ETQ CJA 50HJ","1.2","0.7"
"MCPPTL053","MICROPUNTA PENTEL BL417 SX CEL 0.7MM ENERGEL","0.7","1.2"
"CUAABC080","CUADERNO ABC OFICIO CUAD COL ALEMAN","0.5","1"
"FOLVIN006","FOLDER VINIFAN DOBLE TAPA OFICIO AMARILLO GUS","1.5","1.2"
"CUAABC068","CUADERNO ABC ESP PATAGONIA 1/2 OFI CUAD 5MM 75GR 120HJS","1.5","1"
"ARCLEY054","ARCHIVADOR LEYDEZ PALANCA NEG PLAST","0.7","1.2"
"TRAATS002","TRANSPORT ARTESCO 360X15CM","0.5","1"
"ENGGNR002","ENGRAPADOR GEN DL0582 MINI C/GRAPA  24/6","0.5","1"
"CNKPGF003","CINTA MASK PEGAFAN 500 1PULG X 40YDS","1.2","1"
"BOLPEL043","BOLIGRAFO PELIKAN MX TANGO AZU 1MM","0.5","0.7"
"FOLUSG020","FOLDER USIGN US 3735G OFICIO PLAST BOLSA GEMELA","1","0.5"
"FASLEY002","FASTENER LEYDEZ METALICO","0.7","1"
"BOLPRK087","BOLIGRAFO PARKER 1953182 JOTTER ACERO INOX CLIP DORADO","0.7","1"
"RBLPRK010","RPTO BOLIG PARKER 1950368 QUINK FLOW AZU F","1.5","1"
"PFOMDN001","PAP FOTOGRAF MADISON A4 CJA20U","0.5","0.7"
"XLNGUM143","LOS HIJOS DEL ALCOHOL","0.5","1"
"BOLPTL092","BOLIGRAFO PENTEL BX420 V VIO 1.0MM FEEL IT RETRAC","0.7","1"
"CNEPGF003","CINTA EMBAL PEGAFAN 740 TRANSP 48MM X 100YDS","1.2","1"
"PREDEL013","PORTAREVIS DELLO 6023.I.0006 DELLOCOLOR HUMO","1","0.5"
"TTMATS003","TINT TAMPO ARTESCO ROJ 30ML","0.7","1"
"MCPPTL063","MICROPUNTA PENTEL BLN415 CX AZU 0.5MM ENERGEL","0.5","1.2"
"PAAXXX008","PAP ARAÑA VER MANZANA 50X80CM","1.5","1"
"KITABC004","CUADERNO ABC ESP CARTA CUADERNO DE RECETAS (PQ2UNID)","0.5","1"
"MRAMON002","MARC AGUA MON AMI AZU","1.2","1"
"CUDABC027","CUADERNILLO ABC RAYADO OFICIO","1.2","1"
"CNATCN006","CINTA ADHES TACON AMA OFERTA 3/4PULG X 55YDS","1","1.2"
"PBOBRE020","PAP BOND BOREAL BLAN CARTA 75GR PQ500HJS","0.5","1"
"CLPPOL002","CLIP METAL POLI NO3 33MM CJ100U","1.2","1"
"FOLXXX009","FOLDER CREMA OFICIO CARTULINA 200GR","0.5","1"
"GOMPEL006","GOMA BORRAR PELIKAN MX MIGAJON M 40","0.7","1"
"CCHISO004","CUCHILLA ISOFIT 25623 3 GRUESA PLAST","0.7","1"
"BOLPTL045","BOLIGRAFO PENTEL BX487 A NEG 0.7MM FEEL IT","1.5","1"
"FORRIC008","FORRO RICOR 1/2 OFICIO PLAST AZU","0.7","1"
"GLIPEL013","GLITER PELIKAN AR 09700029 AZUL PASTEL 60ML","1","0.7"
"LAPLYR041","LAPIZ LYRA 1210102 2510 NEG 2B=0 ROBINSON","1.2","1"
"PINETE007","PINCEL ETERNA 577 NO06","1.2","1"
"PBOLEY105","PAP BOND LEYDEZ LAVANDA 80GR CARTA PQ100HJS","1.2","0.7"
"MRDPEL010","MARCADOR PELIKAN MX MARKANA NEG","0.5","1"
"MCPPTL072","MICROPUNTA PENTEL BL417 S3X TURQ 0.7MM ENERGEL","1.5","1"
"XFSALB001","FILOSOFIA PARA CURIOSOS","0.7","1"
"CUAABC101","CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 100HJS PLENO","1.5","1"
"AGEXXX019","AGENDA 2024 CLASICA FLORES CFL 14X20 CONFETTI","1.5","1"
"CNAPGF030","CINTA ADHES PEGAFAN DOBLE FAZ 3/4PULG X 11 YDS","0.7","1"
"PCRUSG003","PORTACREDEN USIGN US 04V 70X105MM CORDON","1.2","1"
"FOLUSG010","FOLDER USIGN US A40 A4 PLAST CON 40 FUNDAS","0.5","1"
"MCPPTL032","MICROPUNTA PENTEL BLN25 B ROJ 0.5MM ENERGEL","0.7","1"
"BLBABC004","BLOCK BOND ABC BLA RAY CARTA 50HJS","0.7","1"
"CUAABC081","CUADERNO ABC ENGRAP 40HJS CUAD 4MM TAM 26X18CM","0.5","1"
"GOMPTL001","GOMA BORRAR PENTEL ZEH 05","0.5","1"
"BOLPEL041","BOLIGRAFO PELIKAN MX TANGO NEG 0.5MM","1.2","1.5"
"RCBADP005","RPTO.CUBO ARDIP DIF.COLOR 9X9CM (BLOC/500HJS)","0.7","1"
"BOLPTL061","BOLIGRAFO PENTEL BX427 B ROJ 0.7MM FEEL IT","1.5","1"
"LPLXXX003","LAMINA PLASTIFICAR OFICIO","0.5","1"
"PBORPO001","PAP BOND REPROGRAF BLAN 75GR CARTA PQ500HJS","1.5","1"
"RESPEL027","RESALTADOR PELIKAN MX 414 VER BISELADA","1.2","1"
"FUNUSG005","FUNDA PLAST USIGN US 219 OFICIO TRANSP CON BROCHE","1.2","1"
"RESPEL038","RESALTADOR PELIKAN CO 041 900 410 AMA FLASH GRUESO","1.5","0.5"
"RESPEL041","RESALTADOR PELIKAN CO 041 900 4240 ROS FLASH GRUESO","0.7","1"
"RESPEL046","RESALTADOR PELIKAN CO 041 900 530 LAVAN FLASH PASTEL GRUESO","0.7","1"
"BOLPTL050","BOLIGRAFO PENTEL BX487 S CEL 0.7MM FEEL IT","1.5","1"
"CRJPEL013","CRAYON JGO PELIKAN MX EXTRA JUMBO REDONDO JGO8 COLOR PELICRAYONES","1.2","1"
"BOLPTL089","BOLIGRAFO PENTEL BX420 F NAR 1.0MM FEEL IT RETRAC","1.2","1"
"MCPPTL049","MICROPUNTA PENTEL BL417 CX AZU 0.7MM ENERGEL","1.2","1"
"CUAABC103","CUADERNO ABC ESP CARTA CUAD 5MM 100HJS PLENO","0.5","1"
"CUAABC300","CUADERNO ABC NOTCOM  ESP CARTA RAYADO 100HJS ","0.5","1"
"XLIBTN018","EL HOMBRE MEDIOCRE C E D C ART 110027","1","1.2"
"AGEV&R100","AGENDA V&R 2024 COHELO CARTONE ","0.7","1.2"
"ETQPGF054","ETIQUETAS PEGAFAN BLA A4 005 38X99MM HJA 14ETQ CJA 50HJ","1.5","1"
"LCLPEL006","LAPIC COLOR PELIKAN AR 30330308 JUMBO 5MM TRIANG LARGO JGO12U","0.7","1"
"PINMDN011","PINCEL MADISON NO 0","0.5","1"
"GOMPEL031","GOMA BORRAR PELIKAN MX WS 60 BLANCA LAPIZ","1.5","1"
"AGETLC055","AGENDA TILUCHI 2024 DIRECTOR ANILLADA","1.2","1"
"SOBXXX023","SOBRE MANILA FOLDER 30X40CM","0.5","1"
"PTLUSG005","PORTALAPIZ USIGN US K158 PLAST MULTIFUNCION","1.5","1"
"FOLVIN015","FOLDER VINIFAN TAPA TRANSPARENTE OFICIO AMA C/FASTENER","0.7","1"
"CUAABC126","CUADERNO ABC ESP 1/2 OFICIO CUAD  5MM 100HJS MARGEN ROJO  TAPA DURA PLENO","0.5","1"
"BOLPEL049","BOLIGRAFO PELIKAN MX POINTEC FINO NEG 0.7MM","0.7","1"
"MRDPTL017","MARCADOR PENTEL N450 A NEG PERM RECARG PTA REDONDA","1.2","1"
"RESPEL050","RESALTADOR PELIKAN CO 041 900 570 CORAL FLASH PASTEL GRUESO","1.5","1"
"RESPEL055","RESALTADOR PELIKAN CO 041 900 560 BANANA FLASH PASTEL GRUESO","0.7","1"
"SOBXXX019","SOBRE MANILA CARTA","1.5","1"
"FORRIC007","FORRO RICOR 1/2 OFICIO PLAST NAR","0.5","1"
"MCPPTL031","MICROPUNTA PENTEL BLN25 CX AZU 0.5MM ENERGEL","1.2","1"
"PINPAG006","PINCEL PAGODA 251 NO08","1","1.2"
"HJCABC021","HJA CARPETA ABC 2 PERF CUAD 5MM PQ500HJS","1.2","1.5"
"GOEXXX047","GOMA EVA LISA AZU OSC 50X70CM","1.5","1"
"BLPHOA023","BLOCK POST HOPAX 26029  45MMX12MM 5 COLORES ","1","0.7"
"PSBXXX011","PAP SABANA 77X110CM","1.2","1"
"LAPSTB004","LAPIZ STABILO 1600 315 ROJ AQUACOLOR","1.5","1"
"PBOPRM001","PAP.BOND PRISME COLOR T/CARTA 12COL.80GR.PQ/500HJS","1.2","1"
"BLDPEL006","BLOCK DIBUJ PELIKAN AL SR3 20 1181X1575PULG 30X40CM 251041","1.5","0.5"
"LAPPEL007","LAPIZ PELIKAN MX BICOLOR JUMBO ROJO AZUL","1.2","1"
"LAPPEL006","LAPIZ PELIKAN MX BICOLOR ROJO AZUL","0.7","1"
"MRDUNI001"," MARCADOR UNI PIN BR-GC BRUSHSIGN GRIS CLARO","1.2","0.5"
"CUAABC401","CUADERNO ABC ENGRAP 46HJS C COOL50 CUAD 5MM PQT 10 PIEZAS","0.7","1"
"FOLVIN021","FOLDER VINIFAN TAPA FANTASIA PLASTICO AZUL C/LIGA","0.7","1"
"BOLBEI002","BOLIGRAFO BEIFA AA927 AZU CJA 50U","1.2","1"
"LAPATS005","LAPIZ ARTESCO ROJ C/GOMA","1.2","1"
"COPKOF001","COMPAS KOFA 3005 ESCOLAR","1.5","1"
"LAPSTB006","LAPIZ STABILO 4909 06 HB NEG SWANO","0.5","1"
"MRDPTL030","MARCADOR PENTEL N450 P ROS PERM RECARG PTA REDONDA","1.2","1.5"
"MINPEL002","MINA PELIKAN MX NEG 0.7MM HB","1.2","0.7"
"CAEEPA030","CALENDARIO E.PAULINAS 2024 PROGRAMADOR DE PARED","1.2","1"
"CHIISO001","CHINCHES ISOFIT 11307 PLATEADO CJ100U","1.2","1"
"PCPHOB004","PAP CREPE HOBBY AMA 48X200CM","0.7","1"
"PAAXXX010","PAP ARAÑA NEG 50X80CM","0.5","1"
"PERRAP020","PERFORADOR RAPID HP20 CAP 20HJS NEG 5000196","0.5","1"
"PBOPBL001","PAP BOND PAPELBOL RECICLADO CARTA 75GR PQ500HJS","1.2","1.5"
"MCPPTL029","MICROPUNTA PENTEL BL27 C AZU 0.7MM ENERGEL","1.2","0.7"
"BOLPTL076","BOLIGRAFO PENTEL BX417 F NAR 0.7MM FEEL IT RETRAC","1.2","1"
"ARCLEY057","ARCHIVADOR LEYDEZ PALANCA VER PLAST","1.2","0.5"
"LIGALL005","LIGAS ALLIANCE NO33 DE 1/4 LIBRA","1.5","1"
"ARCLEY042","ARCHIVADOR LEYDEZ LETRA PALANCA NEG PLAST","0.5","1.5"
"PCABTI001","PAP CARBON BEE TIGER NEG OFICIO PLASTIFICADO PQ100HJS","0.7","1"
"CLBLEY107","CLIP BIN LEYDEZ 19MM O 3/4PULG CJ12PZ","0.7","1"
"TAJPEL008","TAJADOR PELIKAN MX 1 ORIFICIO PLAST MOD 303","1.5","1"
"BOLLEY003","BOLIGRAFO LEYDEZ 07MM ROJO PUNTA METAL","0.5","0.7"
"CCOMDN004","CARPETA COLG MADISON OFICIO ROJ","0.5","1"
"RBLPEL003","RPTO BOLIG PELIKAN AL 095 931 246 AZUL PUNTA F JUMBO","1.2","1"
"AGEV&R095","AGENDA V&R 2024 MITOLOGICA ","1.2","1"
"FOLUSG005","FOLDER USIGN US 287AG VARILLA OFICIO","0.5","1"
"CATABC011","CARTAP ABC 2A CARTA CARTON ANILLA O","1.5","1"
"HTPABC018","HJA TRAPPER ABC NEGRO 5PERF CUAD 5MM PQ200HJS","0.5","1.2"
"PSESWA022","PAP SEDA 7301 MORADO 50X75CM","0.7","1"
"FASMDN001","FASTENER MADISON 1D01002 PLASTICO","1.2","1"
"BOLPTL072","BOLIGRAFO PENTEL BX417 A NEG 0.7MM FEEL IT RETRAC","1.2","1"
"GOMPEL009","GOMA BORRAR PELIKAN MX RADIERER AL 20","0.5","1"
"PEGUHU007","PEGAMENTO UHU EN BARRA 21G","0.7","1"
"BOLPTL058","BOLIGRAFO PENTEL BX440 V VIO 1.0MM FEEL IT TRIANG RETRAC","1","1.2"
"LIBABC002","LIBRETA ABC ESP CUAD 5MM 1/4 OFICIO","0.7","1"
"ARCLEY056","ARCHIVADOR LEYDEZ PALANCA ROJ PLAST","1","0.5"
"CNAPGF001","CINTA ADHES PEGAFAN MAGICA 3/4PULG X 25YDS","1.5","1"
"MCPPTL036","MICROPUNTA PENTEL BL107 AX NEG 0.7MM ENERGEL X RETRAC","1.2","1"
"PBOBRE022","PAP BOND BOREAL BLAN OFICIO 75GR PQ500HJS","0.7","1"
"SENATS007","SEÑALADOR ARTESCO CRISTAL PRECORTADO 3.8CM PLAST","0.7","1"
"MRDPTL020","MARCADOR PENTEL N450 D VER PERM RECARG PTA REDONDA","1","0.5"
"PLFPRK051","PLUMAFUENTE PARKER 2030948 JOTTER CROMA CLIP DOR ","0.5","1.2"
"RFLPRK002","RPTO FLOAT PARKER 117906 S0881210 AZU F","0.7","1"
"MRDPTL041","MARCADOR PENTEL NF450 A NEG PERM PTA EXT FINA","0.7","1"
"BOLCOV001","BOLIGRAFO CORVINA 51 AZU 10MM","1","1.2"
"PINCOD004","PINCEL CONDOR 456 NO 10 PELO CERDA","1.5","1"
"TAJMDN003","TAJADOR MADISON 8583 PLAST ESCOLAR","0.7","1"
"ARCLEY050","ARCHIVADOR LEYDEZ PALANCA AMA PLAST","1.5","1"
"FOLVIN010","FOLDER VINIFAN DOBLE TAPA OFICIO LILA GUS","1.5","0.7"
"FOLDEL111","FOLDER DELLO 0240.T.0050 DELLOFINE VERDE NEON ALA OFICIO","1.2","1"
"SOBXXX017","SOBRE MANILA 1/2 OFICIO","1.5","1"
"FOLVIN020","FOLDER VINIFAN TAPA TRANSPARENTE OFICIO GUINDO C/FASTENER","1.2","1"
"PCBXXX003","PAP CEBOLLA 90 95GR 77X110CM","1.5","1"
"BOLPTL078","BOLIGRAFO PENTEL BX417 S CEL 0.7MM FEEL IT RETRAC","0.7","1"
"CNEPGF002","CINTA EMBAL PEGAFAN 740 TRANSP 48MM X 40YDS","0.7","1"
"LAPSCA005","LAPIZ SCALA 2767 AZU E","1.2","1"
"TPLPEL003","TINT PLUMAF PELIKAN MX 4001 NEG CARTUCHO","1.2","0.7"
"CAUXXX032","CARTULINA ESCOLAR 170GR BLA 65X100CM","1.2","1"
"SOBXXX004","SOBRE BOND BLAN CD 13X13CM","0.5","1"
"PCCLEY001","PAP CALCUL LEYDEZ 60GR 2 1 4PULG 57MM X 55M","0.7","1"
"SELISO001","SELLO ISOFIT NUMERADOR AUTOMAT 6DIG","1.5","1"
"MRJPEL014","MARCADOR JGO PELIKAN MX MARKANA PINCEL 30341200 JGO12U","0.7","1"
"PSESWA009","PAP SEDA 1403 1201 FUCSIA CERICE NO17 50X75CM","1.2","1"
"ENGRAP043","ENGRAPADOR RAPID CAP 20HJS PLAST NEG 5000192","0.7","1"
"TCHPEL005","TINT CHINA PELIKAN CO VER 15CC","1.5","0.7"
"LAPLYR072","LAPIZ LYRA 1293960 NEG HB 2 NEON CON GOMA","1","1.2"
"MINLYR023","MINA LYRA 2182 5002100 NEG 0.7MM HB","1.5","1"
"TAJATS001","TAJADOR ARTESCO METAL SIMPLE","0.5","1"
"BOLPIL046","BOLIGRAFO PILOT BP 1RT F ROJ RETRACTIL","0.5","1"
"GRAMDN005","GRAPAS MADISON 23/15 CJ1000U","1.5","1"
"AGEXXX026","AGENDA STAR WARS 2024","0.5","1"
"PBOLEY107","PAP BOND LEYDEZ VER ESMER 80GR CARTA PQ100HJS","0.7","1.2"
"BOLPIL041","BOLIGRAFO PILOT BPT P ROJ 0.7MM","0.5","1"
"BOLPTL085","BOLIGRAFO PENTEL BX420 A NEG 1.0MM FEEL IT RETRAC","0.5","1"
"BOLPTL091","BOLIGRAFO PENTEL BX420 S CEL 1.0MM FEEL IT RETRAC","1.2","1"
"PIZXXX023","PIZARRA CORCHO 045X060M","1.5","1"
"TTMLEY002","TINT TAMPO LEYDEZ AZUL 30ML","0.7","1"
"PAAXXX002","PAP ARAÑA VER 50X80CM","0.5","1"
"PAAXXX007","PAP ARAÑA BLA 50X80CM","0.5","1"
"TIJMDN003","TIJERA ESCOLAR MADISON NO7 5PULG","0.5","1.2"
"MRAMON001","MARC AGUA MON AMI NEG","0.5","1"
"CUAABC008","CUADERNO ABC ESP 1/2 OFICIO CUAD 4MM 100HJS","1","0.7"
"CUAABC021","CUADERNO ABC NO 7 COL ALEMAN","0.7","1"
"LCLPEL031","LAPIC COLOR PELIKAN MX 30330303 TRIANGULAR 4MM LARGO JGO12U","0.7","1"
"MRDPTL018","MARCADOR PENTEL N450 B ROJ PERM RECARG PTA REDONDA","0.7","1"
"BOLPIL040","BOLIGRAFO PILOT BPT P AZUL 0.7MM","1.2","1"
"CUAABC076","CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 200HJS","0.7","1"
"CUAABC058","CUADERNO ABC ENGRAP 46HJS C COOL50 CUAD 5MM","0.7","1.2"
"CUAABC124","CUADERNO ABC ESP CARTA CUAD  5MM 100HJS MARGEN ROJO  TAPA DURA PLENO","0.7","0.5"
"CUDABC022","CUADERNILLO ABC CARTA 5MM MARGEN","1.5","1"
"HTPABC006","HJA TRAPPER ABC COLOR 3 PERF CUAD 5MM PQ200HJS","1","1.2"
"BOLPTL060","BOLIGRAFO PENTEL BX427 A NEGR0.7MM FEEL IT","0.5","1"
"RESPEL026","RESALTADOR PELIKAN MX 414 ROS BISELADA","0.7","1"
"BLPIDL002","BLOCK POST IDEAL FLUOR 3X3PULG 76X76MM","0.5","1"
"RESPEL040","RESALTADOR PELIKAN CO 041 900 4230 NAR FLASH GRUESO","1.5","1"
"LRGABC004","LIBRO REGIS ABC ACTAS 100 HJS OFICIO","1.2","1"
"PMNSWA001","PAP MANTEQ SWALENDER RESMA","0.7","1"
"FOLXXX008","FOLDER CREMA CARTA CARTULINA 200GR","0.5","1"
"HJCABC017","HJA CARPETA ABC 3 PERF COLOR CUAD 5MM PQ500HJS","1.2","0.5"
"PEGACO008","PEGAMENTO ACRICOLOR ISOCOLA 40G","1.5","1"
"BASUSG001","BASURERO USIGN US 8813 PLASTICO MEDIANO","0.7","1"
"GOMSTB007","GOMA STABILO 1199/90 TRIO (FCO/90U.)","0.7","1"
"BLBXXX001","BLOCK BOND COL 9X9CM 500HJS","1.2","1"
"ARCLEY011","ARCHIVADOR LEYDEZ INICIAL BLA 345X265X5CM","0.7","1"
"PBOABC001","PAP BOND ABC CUAD 57GR DOBLE OFICIO","0.7","1"
"JUEART021","JUEGO ARTI TACJUEDI056 MANITOS X 20 PZS","0.5","1"
"CAUXXX027","CARTULINA CARTA NEG","0.5","1"
"PILPWO003","PILAS ALKALINAS POWER ONE P-AAA/6 BL6U","1","0.5"
"BOLPIL039","BOLIGRAFO PILOT BPT P NEG 0.7MM","0.7","1"
"MRAPEL010","MARC AGUA PELIKAN MX FLASH MARKER 442 NEG","0.7","1"
"MRAPEL011","MARC AGUA PELIKAN MX FLASH MARKER 442 ROJ","0.7","1"
"BOLFBC016","BOLIGRAFO FABER CASTELL VER 032 TRILUX","1.5","1"
"LCLPEL026","LAPIC COLOR PELIKAN CH 010 012 214 PINTALOCO HEXAGLARGO JGO12U","0.5","1"
"PCSLEY001","PAP CONST LEYDEZ 10 COL CARTA BLOCK40HJS","0.5","1"
"BOLPRK086","BOLIGRAFO PARKER 1953170 JOTTER ACERO INOX CLIP CROMADO","0.7","1"
"FOLXXX010","FOLDER COLOR OFICIO CARTULINA COLOR","1.5","1"
"CNARTX005","CINTA ADHES ROTEX 772R BOOK TAPE CAF 50MM","1.2","1"
"RCUISO001","RPTO CUCHIL ISOFIT GRUESO JGO10U","1.5","0.5"
"AGEEPA071","AGENDA E.PAULINAS 2024 EMPEZAR C..DIA TAPA DURA ANILLADA","0.5","1.2"
"MCPPTL052","MICROPUNTA PENTEL BL417 PX ROS 0.7MM ENERGEL","1.5","1"
"PESXXX003","PAP ESTAÑADO VER","0.5","1"
"HTPABC019","HJA TRAPPER ABC NEGRO 5 PERF PUNTEADA PQ200HJS","0.7","1"
"MRDFBC001","MARCADOR FABER CASTELL 54 NEG MULTIMARK","1.2","1"
"PDODEL002","PORTADOCUM DELLO 6093.P.0006 TOP LINE NEG. 12 DIV","1.2","1"
"LAPLYR017","LAPIZ LYRA 1210100 2510 NEG HB=2 ROBINSON","0.5","1"
"PSESWA005","PAP SEDA 4301 VER OSC DARK MID GREEN NO4 50X75CM","0.7","1"
"HTPABC017","HJA TRAPPER ABC 5COLORES 5PERF CUAD 5MM PQ200HJS","1.5","1.2"
"AGEXXX027","AGENDA FRIENDS 2024","0.5","1"
"BOLPTL065","BOLIGRAFO PENTEL BX427 P ROS 0.7MM FEEL IT","0.7","1"
